AREA,TYPE,TAG,PROGRESS
021,A,STR-201_Found.ifc,30
021,A,PTF_Found.ifc,30
022,D,BLD-201_Stairs.ifc,30
022,F,BLD-201_Siding.ifc,30
022,B,BLD-201_Concrete.ifc,30
022,E,BLD-201_Terciary.ifc,30
022,A,BLD-201_Found.ifc,80
022,C,BLD-201_Steel.ifc,30
022,A,Equ-Flour_Found.ifc,30
023,A,BLD-205_Found.ifc,30
023,C,BLD-205_Steel.ifc,30
023,F,BLD-205_Siding.ifc,30
023,C,BLD-205_Bracing.ifc,30
023,F,BLD-205_Girder.ifc,30
023,F,BLD-205_Cladding.ifc,30
023,D,BLD-205_Stairs.ifc,30
023,E,BLD-205_Terciary.ifc,30
023,B,BLD-205_Concrete.ifc,30
023,C,BLD-205_Beams.ifc,30
023,C,BLD-205_Column.ifc,30
024A,A,BLD-202-203-204_Found.ifc,30
024A,A,BLD-202-203-204_Equ_Found.ifc,0
024A,F,BLD-202-203-204_Siding.ifc,30
024A,E,BLD-202-203-204_Terciary.ifc,30
024A,D,BLD-202-203-204_Stairs.ifc,30
024B,A,BLD-211_Found.ifc,30
024B,B,BLD-211_Concrete.ifc,30
024B,F,BLD-211_Siding.ifc,30
024B,D,BLD-211_Stairs.ifc,30
024B,C,BLD-211_Steel.ifc,30
024A,B,BLD-202-203-204_Concrete.ifc,30
024A,C,BLD-202-203-204_Steel.ifc,30
206,B,BLD-206_Concrete.ifc,30
206,D,BLD-206_Stairs.ifc,30
206,C,BLD-206_Steel.ifc,30
206,F,BLD-206_Siding.ifc,30
206,A,BLD-206_Found.ifc,80
206,E,BLD-206_Terciary.ifc,30
214,D,BLD-214_Stairs.ifc,30
214,E,BLD-214_Terciary.ifc,30
214,B,BLD-214_Concrete.ifc,30
214,C,BLD-214_Steel.ifc,30
214,A,BLD-214_Found.ifc,30
214,F,BLD-214_Siding.ifc,30
027A,D,STR-207_Stairs.ifc,30
027A,A,STR-207_Found.ifc,30
027C1,C,027PTF-001.ifc,0
027C1,A,PR-09_Found.ifc,30
027C1,C,PR-09_Steel.ifc,30
027C1,A,Soluble-Storage_Found.ifc,80
027C2,A,Condensate_Found.ifc,30
027C1,E,PR-09_Terciary.ifc,30
027A,C,STR-207_Steel.ifc,30
027A,E,STR-207_Terciary.ifc,30
027C1,D,PR-09_Stairs.ifc,30
027B2,F,STR-213_Siding.ifc,30
027B2,A,Equ_Loading_Found.ifc,30
027B1,A,Equ-Barge_Found.ifc,30
027B2,A,STR-213_Found.ifc,30
027B3,A,Preservative_Found.ifc,30
027B2,C,STR-213_Steel.ifc,30
027B2,A,PW-001-Sleepers.ifc,80
027B1,C,STR-212_Steel.ifc,0
027B1,A,PR-10_Found.ifc,30
027B1,C,PR-10_Steel.ifc,30
027A1,,027A1-SEV-EL-LIGHTING,0
1300,C,PR-012_Steel.ifc,0
1300,C,PR-011_Steel.ifc,0
1300,A,PW-002-Sleepers.ifc,80
1300,C,PR-02_Steel.ifc,0
1300,A,PR-05_Found.ifc,30
1300,C,PR-05_Steel.ifc,30
1300,A,PR-08_Found.ifc,30
1300,C,PR-08_Steel.ifc,30
1300,C,PR-01_Steel.ifc,0
1300,A,PR-06_Found.ifc,30
1300,C,PR-06_Steel.ifc,30
1300,A,PR-07_Found.ifc,30
1300,C,PR-07_Steel.ifc,30
