AREA,TYPE,TAG,PROGRESS
000,B,000-GEN-EIA.L12-UB01,30
BLD,A,VSD_4A-01_UNIT022,30
BLD,A,VSD_4A-02_UNIT022,30
BLD,A,VSD_4B-03_UNIT022,30
BLD,A,VSD_4B-02_UNIT022,30
BLD,A,VSD_4C-03_UNIT022,30
BLD,A,VSD_4E_UTILITIES,30
BLD,A,VSD_4F-02_UTILITIES,30
BLD,A,VSD_4H_UNIT023,30
BLD,A,VSD_4I-03_UNIT023,30
BLD,A,VSD_4L-02_UNIT024A,30
BLD,A,VSD_4N_SPARE,30
BLD,A,VSD_4B-01_UNIT022,30
BLD,A,VSD_4C-01_UNIT022,30
BLD,A,VSD_4C-02_UNIT022,30
BLD,A,VSD_4D_UNIT022,30
BLD,A,VSD_4F-01_UTILITIES,30
BLD,A,VSD_4G-01_UNIT023,30
BLD,A,VSD_4G-02_UNIT023,30
BLD,A,VSD_4I-01_UNIT023,30
BLD,A,VSD_4I-02_UNIT023,30
BLD,A,VSD_4I-04_UNIT023,30
BLD,A,VSD_4J-01_UNIT023,30
BLD,A,VSD_4J-02_UNIT023,30
BLD,A,VSD_4J-03_UNIT023,30
BLD,A,VSD_4K-01_UNIT024A,30
BLD,A,VSD_4K-02_UNIT024A,30
BLD,A,VSD_4L-01_UNIT024A,30
BLD,A,VSD_4M_UNIT027,30
BLD,A,MCC_2A_UNIT022,30
BLD,A,MCC_2B_UNIT022,30
BLD,A,MCC_2C_UNIT022,30
BLD,A,MCC_2D_UNIT022,30
BLD,A,MCC_2E_UTILITIES,30
BLD,A,MCC_2F_UTILITIES,30
BLD,A,MCC_2G_UNIT023,30
BLD,A,MCC_2H_UNIT023,30
BLD,A,MCC_2I_UNIT023,30
BLD,A,MCC_2J_UNIT023,30
BLD,A,MCC_2K_UNIT024A,30
BLD,A,MCC_2L_UNIT024A,30
BLD,A,MCC_2M_UNIT027,30
BLD,A,MCC_2N_SPARE,30
BLD,A,VSD_2O_MVR-FAN1,30
BLD,A,VSD_2P_MVR-FAN2,30
BLD,A,PFC_3A_UNIT022,30
BLD,A,PFC_3B_UNIT022,30
BLD,A,PFC_3C_UNIT022,30
BLD,A,PFC_3D_UNIT022,30
BLD,A,PFC_3E_UTILITIES,30
BLD,A,PFC_3F_UTILITIES,30
BLD,A,PFC_3G_UNIT023,30
BLD,A,PFC_3H_UNIT023,30
BLD,A,PFC_3I_UNIT023,30
BLD,A,PFC_3J_UNIT023,30
BLD,A,PFC_3K_UNIT024A,30
BLD,A,PFC_3L_UNIT024A,30
BLD,A,PFC_3M_UNIT027,30
BLD,A,PFC_3N_SPARE,30
BLD,B,BLD-214-EL_LV0001,30
BLD,A,HV_SWITCHGEAR_6KV,30
BLD,A,HV_SWITCHGEAR_20KV,30
BLD,B,BLD-214-EA.L11-UB04,30
BLD,B,BLD-214-EA.L10-UB01,30
BLD,B,BLD-214-EA.L10-UB02,30
BLD,B,BLD-214-EL_LV0002,30
BLD,B,BLD-214-EL_LV0003,30
000,B,000-GEN-EA.L10-UB02,30
000,B,000-GEN-EA.L12-UB01,30
000,B,000-GEN-EIA.L12-UB02DELETE,30
000,B,000-GEN-EA.L12-UB02,30
BLD,B,BLD-214-EA.L11-UB02,30
BLD,B,BLD-214-EA.L11-UB03,30
BLD,B,BLD-214-EA.L11-UB01,30
035A1,B,035A1-REF-EL-LV0006,30
035A1,B,035A1-REF-EL-LV0002,30
035A1,B,035A1-REF-EL-LV0001,30
035A1,B,035A1-REF-EL-LV0003,30
035A1,B,035A1-REF-EL-LV0004,30
035A1,B,035A1-REF-EL-LV0005,30
021A1,B,021A1=021100EA.L12-UB03,60
021A1,B,021A1=021100EA.L12-UB05-deleted,10
021A1,B,021A1=021100EA.L12-UB03-deleted,10
021A1,B,021A1=021100EA.L12-UB07-deleted,10
021A1,B,021A1=021100EA.L12-UB08-deleted,10
021A1,B,021A1=021100EA.L12-UB05,60
021A1,B,021A1=021100EA.M12-UB06,60
021A1,B,021A1=021100EA.M12-UB09,60
021A1,B,021A1=021100EA.M12-UB08,60
021A1,B,021A1=021100EA.M12-UB10,60
021A1,B,021A1=021100EA.M12-UB07,60
021A1,B,021A1=021100EIA.L12-UB01,60
021A1,B,021A1=021100EA.L12-UB02,60
021A1,B,021A1=021100EA.L12-UB04,60
22A2,,LP1,30
22A2,,LP2,30
22A2,,LP3,30
022A3,,022A3=021200EA.L12-UB14,30
022A3,,022A3=021200EA.L12-UB11,30
022A4,,022A4=021200EA.L12-UB11,30
022A4,,022A4=021200EA.L12-UB14,30
022A5,,022A5=021200EA.L12-UB14,30
022A5,,022A5=021200EA.L12-UB11,30
022A6,,022A6=021200EA.L12-UB11,30
022A6,,022A6=021200EA.L12-UB14,30
022A6,B,022A6=021200EA.L12-UB21,30
022A6,B,022A6=021200EA.L12-UB12,30
022A6,B,022A6=021200EA.L12-UB06,30
022A4,B,022A4=021200EA.L12-UB05,30
022A1,B,022A1=021200EA.L12-UB13,30
022A6,B,022A6=021200EA.L12-UB18,30
022A4,B,022A4=021200EA.L12-UB29,30
022A4,B,022A4=021200EA.L12-UB32,30
022A6,B,022A6=021200EA.L12-UB24,30
022A1,B,022A1=021200EA.L12-UB34,30
022A5,B,022A5=021200EA.L12-UB08,30
022A3,B,022A3=021200EA.L12-UB25,30
022A3,B,022A3=021200EA.L12-UB26,30
022A5,B,022A5=021200EA.L12-UB09,30
022A1,B,022A1=021200EA.L12-UB16,30
022A3,B,022A3=021200EA.L12-UB35,30
022A5,B,022A5=021200EA.L12-UB17,30
022A2,B,022A2=021200EA.L12-UB04,30
022A1,B,022A1=021200EA.L12-UB07,30
022A5,B,022A5=021200EA.L12-UB23,30
022A2,B,022A2=021200EA.L12-UB11,30
022A5,B,022A5=021200EA.L12-UB33,30
022A4,B,022A4=021200EA.L12-UB20,30
022A5,B,022A5=021200EA.L12-UB36,30
022A1,B,022A1=021200EA.L12-UB37,30
022A6,B,022A6=021200EA.L12-UB15,30
022A8,B,022A8=021200EA.L12-UB41,30
022A1,B,022A1=021200EA.L12-UB01,30
022A1,B,022A1=021200EA.L12-UB02,30
022A6,B,022A6=021200EA.L12-UB30,30
022A1,B,022A1=021200EA.L12-UB10,30
022A1,B,022A1=021200EA.L12-UB39,30
022A1,B,022A1=021200EA.L12-UB38,30
022A1,B,022A1=021200EA.L12-UB31,30
022A2,B,022A2=021200EA.L12-UB28,30
022A3,B,022A3=021200EA.L12-UB03,30
022A2,B,022A2=021200EA.L12-UB14,30
022A3,B,022A3=021200EA.L12-UB19,30
022A3,B,022A3=021200EA.L12-UB22,30
022A4,B,022A4=021200EA.L12-UB03,30
022A5,B,022A5=021200EA.L12-UB06,30
022A2,B,022A2=021200EA.L12-UB29,30
022A2,B,022A2=021200EA.L12-UB30,30
022A2,B,022A2=021200EA.L12-UB32,30
022A2,B,022A2=021200EA.L12-UB33,30
022A2,B,022A2=021200EA.L12-UB35,30
022A2,B,022A2=021200EA.L12-UB36,30
022A2,B,022A2=021200EA.L12-UB41,30
022A7,B,022A7=021200EA.L12-UB37,30
022A2,B,022A2=021200EA.L12-UB01,30
022A2,B,022A2=021200EA.L12-UB02,30
022A2,B,022A2=021200EA.L12-UB03,30
022A2,B,022A2=021200EA.L12-UB05,30
022A2,B,022A2=021200EA.L12-UB06,30
022A2,B,022A2=021200EIA.L12-UB07,30
022A2,B,022A2=021200EA.L12-UB08,30
022A2,B,022A2=021200EA.L12-UB09,30
022A2,B,022A2=021200EA.L12-UB10,30
022A2,B,022A2=021200EA.L12-UB12,30
022A2,B,022A2=021200EA.L12-UB13,30
022A2,B,022A2=021200EA.L12-UB15,30
022A2,B,022A2=021200EIA.L12-UB16,30
022A2,B,022A2=021200EA.L12-UB17,30
022A2,B,022A2=021200EA.L12-UB18,30
022A2,B,022A2=021200EA.L12-UB19,30
022A2,B,022A2=021200EA.L12-UB20,30
022A2,B,022A2=021200EA.L12-UB21,30
022A2,B,022A2=021200EA.L12-UB22,30
022A2,B,022A2=021200EA.L12-UB23,30
022A2,B,022A2=021200EA.L12-UB24,30
022A2,B,022A2=021200EA.L12-UB25,30
022A2,B,022A2=021200EA.L12-UB26,30
022A2,B,022A2=021200EA.L12-UB27,30
022A2,B,022A2=021200EIA.L12-UB31,30
022A2,B,022A2=021200EIA.L12-UB34,30
022A2,B,022A2=021200EA.L12-UB37,30
022A2,B,022A2=021200EA.L12-UB38,30
022A2,B,022A2=021200EIA.L12-UB39,30
022A2,B,022A2=021200EA.L12-UB40,30
022A8,B,022A8=021200EA.L12-UB40,30
022A6,B,022A6=021200EA.L12-UB40,30
022A6,B,022A6=021200EA.L12-UB41,30
022A5,B,022A5=021200EA.L12-UB41,30
022A5,B,022A5=021200EA.L12-UB40,30
022A5,B,022A5=021200EA.L12-UB30,30
022A5,B,022A5=021200EA.L12-UB24,30
022A5,B,022A5=021200EA.L12-UB21,30
022A5,B,022A5=021200EA.L12-UB18,30
022A5,B,022A5=021200EA.L12-UB15,30
022A5,B,022A5=021200EA.L12-UB12,30
022A4,B,022A4=021200EA.L12-UB41,30
022A4,B,022A4=021200EA.L12-UB40,30
022A4,B,022A4=021200EA.L12-UB36,30
022A4,B,022A4=021200EA.L12-UB33,30
022A4,B,022A4=021200EA.L12-UB30,30
022A4,B,022A4=021200EA.L12-UB24,30
022A4,B,022A4=021200EA.L12-UB23,30
022A4,B,022A4=021200EA.L12-UB21,30
022A4,B,022A4=021200EA.L12-UB18,30
022A4,B,022A4=021200EA.L12-UB17,30
022A4,B,022A4=021200EA.L12-UB15,30
022A4,B,022A4=021200EA.L12-UB12,30
022A4,B,022A4=021200EA.L12-UB06,30
022A4,B,022A4=021200EA.L12-UB08,30
022A4,B,022A4=021200EA.L12-UB09,30
022A3,B,022A3=021200EA.L12-UB41,30
022A3,B,022A3=021200EA.L12-UB40,30
022A3,B,022A3=021200EA.L12-UB36,30
022A3,B,022A3=021200EA.L12-UB33,30
022A3,B,022A3=021200EA.L12-UB32,30
022A3,B,022A3=021200EA.L12-UB30,30
022A3,B,022A3=021200EA.L12-UB29,30
022A3,B,022A3=021200EA.L12-UB27,30
022A3,B,-022A3=021200EA.L12-UB24,30
022A3,B,022A3=021200EA.L12-UB23,30
022A3,B,022A3=021200EA.L12-UB21,30
022A3,B,022A3=021200EA.L12-UB20,30
022A3,B,022A3=021200EA.L12-UB18,30
022A3,B,022A3=021200EA.L12-UB17,30
022A3,B,022A3=021200EA.L12-UB15,30
022A3,B,022A3=021200EA.L12-UB12,30
022A3,B,022A3=021200EA.L12-UB05,30
022A3,B,022A3=021200EA.L12-UB06,30
022A3,B,022A3=021200EA.L12-UB08,30
022A3,B,022A3=021200EA.L12-UB09,30
023A4,B,023A4=021000EA.L12-UB11,30
023A3,B,023A3=021000EA.L12-UB06,30
023A3,B,023A3=021000EA.L12-UB07,30
023A3,B,023A3=021000EA.L12-UB08,30
023A3,B,023A3=021000EA.L12-UB09,30
023A3,B,023A3=021000EA.L12-UB10,30
023A3,B,023A3=021000EA.L12-UB11,30
023A3,B,023A3=021000EA.L12-UB13,30
023A3,B,023A3=021000EA.L12-UB14,30
023A2,B,023A2=021000EA.L12-UB06,30
023A2,B,023A2=021000EA.L12-UB07,30
023A2,B,023A2=021000EA.L12-UB08,30
023A2,B,023A2=021000EA.L12-UB09,30
023A2,B,023A2=021000EA.L12-UB10,30
023A2,B,023A2=021000EA.L12-UB11,30
023A2,B,023A2=021000EA.L12-UB12,30
023A2,B,023A2=021000EA.L12-UB13,30
023A2,B,023A2=021000EA.L12-UB14,30
023A2,B,023A2=021000EA.L12-UB15,30
023A2,B,023A2=021000EA.L12-UB17,30
023A2,B,023A2=021000EA.L12-UB18,30
023A2,B,023A2=021000EA.L12-UB19,30
023A2,B,023A2=021000EA.L12-UB20,30
023A2,B,023A2=021000EA.L12-UB21,30
023A2,B,023A2=021000EA.L12-UB22,30
023A2,B,023A2=021000EA.L12-UB23,30
023A3,A,HOLD-PS-13,30
023A3,A,HOLD-PS-14,30
023A4,A,HOLD-PS-15,30
023A2,A,HOLD-PS-12,30
023A2,A,HOLD-PS-11,30
023A1,A,HOLD-PS-09,30
023A1,A,HOLD-PS-10,30
023A1,B,023A1=021000EA.L12-UB01,30
023A1,B,023A1=021000EA.L12-UB02,30
023A1,B,023A1=021000EA.L12-UB03,30
023A1,B,023A1=021000EA.L12-UB04,30
023A1,B,023A1=021000EA.L12-UB05,30
023A1,B,023A1=021000EA.L12-UB06,30
023A1,B,023A1=021000EA.L12-UB07,30
023A1,B,023A1=021000EA.L12-UB08,30
023A1,B,023A1=021000EA.L12-UB10,30
023A1,B,023A1=021000EA.L12-UB11,30
023A1,B,023A1=021000EA.L12-UB12,30
023A1,B,023A1=021000EA.L12-UB13,30
023A1,B,023A1=021000EA.L12-UB14,30
023A1,B,023A1=021000EA.L12-UB17,30
023A1,B,023A1=021000EA.L12-UB18,30
023A1,B,023A1=021000EA.L12-UB19,30
023A1,B,023A1=021000EA.L12-UB20,30
023A1,B,023A1=021000EA.L12-UB21,30
023A1,B,023A1=021000EA.L12-UB22,30
023A1,B,023A1=021000EA.L12-UB09,30
023A1,B,023A1=021000EA.L12-UB23,30
023A1,B,023A1=021000EA.L12-UB15,30
023A1,B,023A1=021000EA.L12-UB16,30
024A1,B,024A1=021400EA.L12-UB02,30
024B1,B,024B1=021800EIA.L12-UB01,30
024A1,B,024A1=021400EA.L12-UB04,30
024B1,B,024B1=021800EA.L12-UB04DELETED,30
024A2,B,024A2=021400EA.L12-UB07,30
024A2,B,024A2=021400EA.L12-UB09,30
024A2,B,024A2=021400EA.L12-UB10,30
024A2,B,024A2=021400EA.L12-UB11,30
024A2,B,024A2=021400EA.L12-UB12,30
024A2,B,024A2=021400EA.L12-UB13,30
024A1,B,024A1=021400EA.L12-UB01,30
024A1,B,024A1=021400EA.L11-UB03,30
024A1,B,024A1=021400EA.L11-UB01,30
024B1,B,024B1=021800EA.L12-UB02,30
024A1,B,024A1=021400EA.L12-UB03,30
024A1,B,024A1=021400EA.L12-UB06,30
024A1,B,024A1=021400EA.L12-UB05,30
024A1,B,024A1=021400EA.L11-UB04,30
027A1,B,027A1-SEV-EL_LV0001_690V,60
027A1,B,027A1-SEV-EL_LV0002_690V,60
027A1,B,027A1-SEV-EL_LV0002,60
027A1,B,027A1-SEV-EL_LV0001,60
027C2,B,027C2-SEV-EL_LV0001,60
027B3,B,027B3-SEV-EL_LV0001,60
027B1,B,027B1-SEV-EL_LV0001,60
027B2,B,027B2-SEV-IN/EL_LV0002,60
027B1,B,027B1-SEV-EL_LV0003,60
027A1,B,027A1-SEV-EL_LV0004,60
027A1,B,027A1-SEV-EL_LV0003,60
027A1,B,027A1-SEV-EL_LV0005,60
027A1,B,027A1-SEV-IN/EL_LV0005,60
080A1,B,080A1-SDR-EL_LV0002,30
080A1,B,080A1-SDR-EL_LV0003,30
080A1,B,080A1-SDR-EL_LV0001,30
080A1,B,080A1-SDR-EL_LV0005,30
080A1,B,080A1-SDR-EL_LV0004,30
BLD,B,BLD-214-EL_LV0001_PACKAGE,30
BLD,B,BLD-214-EL_LV0002_PACKAGE,30
BLD,B,BLD-214-EL_LV0003_PACKAGE,30
BLD,B,BLD-214-EL_LV0004_PACKAGE,30
BLD,B,BLD-214-EL_LV0005_PACKAGE,30
BLD,B,BLD-214-EL_LV0006_PACKAGE,30
BLD,B,BLD-214-EL_LV0007_PACKAGE,30
027C2,B,027C2-SEV-EL_LV0002,60
