AREA,TYPE,TAG,PROGRESS
023,P,021602TK001,30
023,F,021916FR001,30
023,K,021948PU002,30
023,K,021947PU004,30
023,P,021903TK001,30
023,H,021604HX008,30
023,H,021604HX018,30
023,I,021303LE001,30
023,I,021600LE001,30
023,F,021603SC009,30
023,H,021917HX003,30
023,I,IBC-1000L,30
023,K,021947PU005,30
023,F,021916FR002,30
023,I,021402SC015,60
023,I,021402SC013,60
023,I,021402SC011,60
023,I,021402SC009,60
023,I,021402SC007,60
023,I,021402SC005,60
023,K,021402PU005,30
023,K,021402PU001,30
023,O,021933PX001,30
023,P,021402TK001,30
023,P,021602TK008,30
023,P,021501TK001,30
023,K,021302PU001,30
023,P,021603TK001,30
023,P,021601TK009,30
023,P,021604TK001,30
023,P,021601TK011,30
023,P,021601TK012,30
023,P,021604TK017,30
023,P,021603TK008,30
023,P,021601TK001,30
023,P,021403TK001,30
023,P,021916TK001,30
023,P,021917TK002,30
023,P,021917TK001,30
023,P,021921TK001,30
023,P,021000TK001,30
023,P,021942TK001,30
023,I,021303CF001,75
023,H,021917HX001,30
023,K,021947PU007,30
023,F,021603SC001,60
023,I,021600LE002,30
023,A,021603AG008,30
023,A,021603AG006,30
023,A,021604AG001,30
023,P,021703TK003,30
023,A,021601AG012,30
023,P,021603TK006,30
023,K,021403PU001,30
023,A,021703AG003,30
023,A,021000AG001,30
023,I,IBC_PUMPS_SUPPORT_1,30
023,C,021603CF001,60
023,G,021603HC012,60
023,F,021604FR016,30
023,F,021604FR015,30
023,F,021604SC002,30
023,F,021604SC001,30
023,I,021303CF002,75
023,I,021303CF003,75
023,I,021303CF004,75
023,I,023/981200SS001,30
023,I,023/981200SS002,30
023,I,023-WES-AUXILIARY-OPERATOR-1,30
023,I,023-WES-AUXILIARY-OPERATOR-2,30
023,A,021000AG003,30
023,P,021601TK005,30
023,J,021917MX003,30
023,J,021917MX002,30
023,K,021402PU002,30
023,K,021402PU003,30
023,K,021402PU006,30
023,K,021402PU007,30
023,K,021402PU008,30
023,K,021402PU009,30
023,K,021402PU010,30
023,K,021402PU011,30
023,K,021402PU012,30
023,K,021402PU013,30
023,K,021402PU014,30
023,K,021403PU002,30
023,P,021302TK001,30
023,K,021302PU002,30
023,K,021302PU003,30
023,K,021302PU004,30
023,K,021903PU001,30
023,K,021930PU001,30
023,K,021930PU002,30
023,K,021930PU003,30
023,K,021930PU004,30
023,K,021930PU005,30
023,K,021930PU006,30
023,K,021930PU007,30
023,K,021930PU008,30
023,N,021301SI001,30
023,C,021501CF002,30
023,I,021501LE002,30
023,I,021501CF001,30
023,I,021601CF012,30
023,C,021601CF013,30
023,J,021302MX002,30
023,I,SP-007,30
023,I,SP-006,30
023,I,SP-005,30
023,I,SP-004,30
023,I,SP-010,30
023,I,SP-009,30
023,I,SP-008,30
023,I,021301WE001,30
023,I,SP-001,30
023,I,TP-005,30
023,I,TP-006,30
023,I,TP-007,30
023,I,TP-008,30
023,I,021302MX001,30
023,I,SP-002,30
023,C,021603CF002,60
023,C,021601CF009,60
023,C,021601CF010,60
023,F,021603SC002,60
023,F,021601SC009,60
023,F,021601SC010,60
023,F,021601SC011,60
023,C,021601CF011,60
023,K,021602PU007,30
023,K,021601PU007,30
023,K,021602PU008,30
023,K,021703PU003,30
023,I,SP-020,30
023,I,021302OV009,30
023,I,021302OV008,30
023,I,021302OV007,30
023,I,021302OV006,30
023,I,021303LE003-DELETE,30
023,I,021303LE004-DELETE,30
023,I,021601LE009,30
023,I,021601LE010,30
023,I,021601LE011,30
023,I,021603LE011,30
023,I,021603LE012,30
023,I,021501LE001,30
023,I,021601LE012,30
023,I,021601LE013,30
023,I,021302LE001,30
023,I,WES-AIR_HOSE3,30
023,I,Copy-of-WES-WATER_HOSE1,30
023,I,=67127438/2338154,30
023,I,=67127438/2338806,30
023,H,021604HX016,30
023,F,021301RF001,30
023,F,021301FR001,30
023,B,021301BL001,30
023,F,021301FR003,30
023,B,021301BL003,30
023,I,Copy-(3)-of-021601LE009,30
023,I,NEW_HOIST_HOLD,30
023,I,021940PX003,30
023,F,021703FR004,30
023,F,021703FR003,30
023,I,021303MX004,30
023,M,021602SC006,75
023,M,021602SC007,75
023,M,021601SC005,75
023,P,021603TK009,60
023,M,021601SC007,75
023,M,021601SC006,75
023,,021922PU003,30
023,,021922PU001,30
023,,021922PU004,30
023,,021922PU002,30
023,F,021603FR011,30
023,F,021603FR012,30
023,F,021916FR004,30
023,F,021916FR003,30
023,,AUXILIARY-EXHAUST_CONTROL_BOX_WES_1A,30
023,,AUXILIARY-EXHAUST_CONTROL_BOX_WES_2A,30
023,,AUXILIARY-EXHAUST_CONTROL_BOX_WES_1B,30
023,N,Copy-of-021301SI001,30
023,F,Copy-of-021301RF001,30
023,,Copy-of-021922PU004,30
023,I,021402SC006,60
023,I,021402SC008,60
023,I,021402SC010,60
023,I,021402SC012,60
023,I,021402SC014,60
023,I,021402SC016,60
023,K,021604PU017,30
023,K,021604PU008,30
023,K,021603PU002,30
023,K,021603PU008,30
023,K,021916PU001,30
023,K,021921PU001,30
023,K,021917PU002,30
023,K,021604PU014,30
023,K,021603PU011,30
023,K,021603PU009,30
023,K,021603PU010,30
023,K,021601PU009,30
023,K,021000PU001,60
023,K,021942PU001,30
023,K,021603PU006,30
023,K,021601PU014,30
023,K,021604PU015,30
023,K,021604PU011,30
023,K,021604PU009,30
023,K,021916PU004,30
023,K,021000PU003,60
023,K,021603PU007,30
023,K,021601PU010,30
023,K,021604PU010,30
023,K,021603PU004,30
023,K,021916PU002,30
023,K,021601PU015,30
023,K,021603PU001,30
023,K,021604PU012,30
023,K,021604PU007,30
023,K,021604PU003,30
023,K,021501PU001,30
023,K,021603PU013,30
023,K,021604PU005,30
023,K,021601PU012,30
023,K,021603PU003,30
023,K,021604PU004,30
023,K,021402PU017,30
023,K,021604PU013,30
023,K,021916PU003,30
023,K,021501PU002,30
023,K,021601PU001,30
023,K,021917PU001,30
023,K,021601PU011,30
023,K,021601PU013,30
023,K,021603PU012,30
023,K,021604PU016,30
023,K,021604PU001,30
023,K,021602PU001,30
023,K,021604PU006,30
023,P,021602TK005,30
023,M,021603SC008,60
023,P,021919TK001,30
023,K,021602PU005,30
023,K,021601PU005,30
023,M,021602SC002,60
023,M,021602SC004,60
023,M,021601SC002,60
023,M,021602SC001,75
023,M,021602SC003,60
023,M,021601SC001,60
023,M,021601SC003,60
023,H,021917HX002,30
027C1,K,021702PU002,30
027A,K,021702PU020,30
027A,I,021700LE002,30
027A,I,021700LE003,30
027C1,P,021925TK001,30
027C1,P,021930TK018,30
027C1,K,021701PU001,30
027A,K,021702PU004,30
027A,K,021702PU003,30
027A,K,021702PU007,30
027A,K,021702PU010,30
027C1,H,021702HX004,60
027C1,H,021918HX001,60
027C1,K,021930PU018,30
027C1,L,027-SP-020,30
027C1,H,021702HX005,60
027C1,P,021701TK001,30
027C1,F,021701FR001,0
027C1,I,021701MM001,30
027A,I,021700LE001,30
027C1,P,021701TK003,30
027C1,P,021701TK004,30
027C1,F,021701FR003,0
027C1,P,021702TK002,30
027C2,P,021918TK001,30
027C2,K,021918PU001,30
027C2,K,021918PU002,30
027C2,K,021918PU003,30
027C1,P,021701TK002,0
027A,K,021702PU005,30
027A,K,021702PU006,30
027A,K,021702PU008,30
027C1,I,021925MX001,30
027C1,K,021925PU001,30
027C2,H,021918HX002,60
023,I,021300LE001,30
023,I,WES-AIR_HOSE1,30
023,I,WES-WATER_HOSE1,30
023,I,WES-HP_CLEANING_HOSE1,30
023,I,WES-AIR_HOSE2,30
023,I,WES-WATER_HOSE2,30
023,I,WES-HP_CLEANING_HOSE2,30
023,I,WES-HP_CLEANING_HOSE3,30
023,I,WES-HP_CLEANING_HOSE4,30
023,I,WES-HP_CLEANING_HOSE6,30
023,I,AIR_HOSE3,30
023,I,WES-WATER_HOSE3,30
023,I,WES-HP_CLEANING_HOSE8,30
023,I,WES-HP_CLEANING_HOSE9,30
023,P,021000TK003,30
023,I,023/981200HW001,30
023,I,023/981200HW002,30
023,I,023/981200HW003,30
023,I,WES-HP_CLEANING_HOSE5,30
023,I,Copy-of-WES-HP_CLEANING_HOSE5,30
023,I,Copy-of-WES-HP_CLEANING_HOSE7,30
023,I,021303MX003,30
023,I,021303MX002,30
023,I,021303MX001,30
023,M,021602SC005,75
023,I,021300LE003,30
