AREA,TYPE,TAG,PROGRESS
000,C,000-WES-IN-RIO-DCS/+2060AA01,10
000,C,000-WES-IN-RIO-DCS/+2140AA01,10
021A1,C,021A1-WPR-IN-RIO-DCS/+0800Z103,30
021A1,C,021A1-WPR-IN-RIO-DCS/+0800Z103-STAND,30
021A1,A,021A1-WPR-IN-RW-SIG/+0800Z103-UG1,30
022A1,A,022A1-FLM-IN-RW-PWR/+2000Z202-UB1,60
022A1,A,022A1-FLM-IN-RW-SIG/+2000Z202-UG1,60
022A6,A,022A6-FLM-IN-RW-PWR/+2013Z204-UB1,60
022A6,A,022A6-FLM-IN-RW-PWR/+2015Z207UB1,60
022A6,A,022A6-FLM-IN-RW-PWR/+2015Z208-UB1,60
022A6,A,022A6-FLM-IN-RW-SIG/+2013Z204-UG1,60
022A6,A,022A6-FLM-IN-RW-SIG/+2015Z207-UG1,60
022A6,A,022A6-FLM-IN-RW-SIG/+2015Z208-UG1,60
022A6,C,022A6-FLM-IN-RIO-DCS/+2015Z208,60
022A6,C,022A6-FLM-IN-RIO-DCS/+2015Z207,60
022A5,A,022A5-FLM-IN-RW-PWR/+2014Z205-UB1,60
022A5,A,022A5-FLM-IN-RW-SIG/+2014Z205-UG1,60
022A5,C,022A5-FLM-IN-RIO-DCS/+2014Z206,60
022A5,C,022A5-FLM-IN-RIO-DCS/+2014Z205,60
022A4,A,022A4-FLM-IN-RW-PWR/+2011Z202-UB1,60
022A4,A,022A4-FLM-IN-RW-PWR/+2013Z204-UB1,60
022A4,A,022A4-FLM-IN-RW-PWR/+2013Z203-UB1,60
022A4,A,022A4-FLM-IN-RW-SIG/+2013Z204-UG1,60
022A4,A,022A4-FLM-IN-RW-SIG/+2013Z203-UG1,60
022A4,C,022A4-FLM-IN-RIO-DCS/+2013Z204,60
022A4,C,022A4-FLM-IN-RIO-DCS/+2013Z203,60
022A2,A,022A2-FLM-IN-RW-PWR/+2011Z202-UB1,60
022A2,A,022A2-FLM-IN-RW-PWR/+2011Z201-UB1,60
022A2,A,022A2-FLM-IN-RW-SIG/+2011Z202-UG1,60
