STATUS_DEFINITION;SITE_NAME;ZONE_NAME;ITEM_TYPE;ITEM_NAME;STATUS_VALUE
/TPI-EP-PROGRESS/ELEC/ELEC;/021A1-WPR-EL;/021A1-WPR-EL_CABLE_TRAYS;PIPE;/021A1=021100EA.L12-UB03-deleted;10
/TPI-EP-PROGRESS/ELEC/ELEC;/021A1-WPR-EL;/021A1-WPR-EL_CABLE_TRAYS;PIPE;/021A1=021100EA.L12-UB05-deleted;10
/TPI-EP-PROGRESS/ELEC/ELEC;/021A1-WPR-EL;/021A1-WPR-EL_CABLE_TRAYS;PIPE;/021A1=021100EA.L12-UB07-deleted;10
/TPI-EP-PROGRESS/ELEC/ELEC;/021A1-WPR-EL;/021A1-WPR-EL_CABLE_TRAYS;PIPE;/021A1=021100EA.L12-UB08-deleted;10
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214-CABLE-LADDER-LV-FIRTS-FLOOR;PIPE;/BLD-214-EL_LV0002;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4K-02_UNIT024A;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/000-GEN-EL-CABLE-LADDER-LV;PIPE;/000-GEN-EIA.L12-UB01;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3J_UNIT023;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4B-02_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214-CABLE-LADDER-LV-FIRTS-FLOOR;PIPE;/BLD-214-EL_LV0003;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_GROUND_FLOOR;EQUI;/HV_SWITCHGEAR_6KV;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3F_UTILITIES;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3N_SPARE;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4L-01_UNIT024A;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4K-01_UNIT024A;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4J-02_UNIT023;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_2O_MVR-FAN1;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4I-02_UNIT023;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3B_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4D_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4C-02_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_CABLE-LADDER_GROUND_FLOOR;PIPE;/BLD-214-EL_LV0005_PACKAGE;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4B-03_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/VSD_4B-01_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3L_UNIT024A;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_CABLE-LADDER_GROUND_FLOOR;PIPE;/BLD-214-EL_LV0006_PACKAGE;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3K_UNIT024A;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3I_UNIT023;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3G_UNIT023;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3E_UTILITIES;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3C_UNIT022;30
/TPI-EP-PROGRESS/ELEC/ELEC;/000-GEN-EL;/BLD-214_EQUIPMENT_FIRST_FLOOR;EQUI;/PFC_3A_UNIT022;30
