AREA,TAG,DIAMETER,CALC_NOTES,PID,ISO,STRESS,SUPPORT
034A1,034A1-000340-80-CG2-10SU21-XXXX_01,3,unset,0,0,0,0
034A1,034A1-000340-80-CG2-10SU21-XXX1_01,3,unset,0,0,0,0
034A1,034A1-000340-80-SCIP1-10SS21-XXX1_01,3,unset,0,0,0,0
034A1,034A1-000340-80-SCIP1-10SS21-XXX2_01,3,unset,0,0,0,0
034A1,034A1-000420-150-WSS-16SS21-0002_01,3,unset,0,0,0,0
034A1,034A1-TIEIN-65-WSS-16SS21-0020-ET_01,8,unset,100,100,0,0
034A1,034A1-TIEIN-65-WSS-16SS21-0021-ET_01,8,unset,100,100,0,0
022A1,022A1-941002-15-WF-HOLD-0087_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0091_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0085_01,0.5,unset,70,60,0,0
022A1,022A1-971101-100-WF-GALV-0002_01,4,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0086_01,0.5,unset,70,60,0,0
022A1,022A1-981000-80-WF-GALV-0008_01,3,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0084_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0083_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0082_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0081_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0080_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0079_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0078_01,0.5,unset,70,60,0,0
022A1,022A1-981000-80-WF-GALV-0001_01,3,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0077_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0076_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0075_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0090_01,0.5,unset,70,60,0,0
022A1,022A1-941002-15-WF-HOLD-0074_01,0.5,unset,70,60,0,0
